,C&W-Chemical-PPG&OFC-Sales-International
,C&W-Chemical-PPG&OFC-PMG
,Thermax Group
,C&H-Heating-FM&GS-MED&IED
,C&H-Cooling-Quality-PA&Maint-PA
,Power-LPP-Procure
,C&H-Heating-FM&GS-FMG&Site Safety
,RTIC-Technology Development Center-Heating Gr
,C&H-Heating-FM&GS-MED&IED-IED
,C&W-WWS-IPG-Process&Proposals-Water
,C&H-Cooling-Tech&Innov-Engg-Mechanical
,B&H-Corporate Functions-PMO&BPMO
,C&W-Chemical-PPG&OFC-OFC
,C&H-Heating-Product-Prdn-Coil
,C&H-Heating-FM&GS-Global Sourcing
,Enviro-PRD-PDG-Planning&Spares
,C&H-Cooling-Tech Ser-West-Gujrat
,C&H-Heating-Project-Procure-Fabrication
,C&W-WWS-IPG-Sales-WTP
,B&H-Utility-Oprtns-Projects
,C&W-WWS-IPG-Oprtns-Materl Fabrication
,Power-SPP-Corporate
,Enviro-PRD-PEG-Auxi Filters
,Corporate Fin-EXIM-Export-B&H & other divisions
,C&H-Cooling-Oprtns-Mfg-PPC
,C&H-Services-Oprtns-Tech Ser HO
,C&W-WWS-IPG-Oprtns-Ser&Commisioning
,Power-MPP-Engg-Detail Engg-Electrical
,C&W-WWS-Prdt-Materl&Assembly
,B&H-Oil/Gas&WH-Oprtns
,RTIC-Technology Development Center-Enviro Gr
,Corporate Fin-EXIM-Export-C&H
,C&W-Chemical-Resin&Membrane
,Power-SPP-Sales&Mktg
,C&H-Heating-Project-Engg
,C&W-Chemical-Oprtns-Factory Mgmt[Paudh]
,C&H-Heating-Project-Planning
,C&H-Heating-Project-Com-Shipping
,C&W-Chemical-Resin&Membrane-PMG
,C&H-Cooling-Tech&Innov
,C&H-Cooling-Tech&Innov-Engg-Automation
,C&H-Cooling-Quality-QA&Welding-Welding
,Enviro-PRD-PMG
,EI-PAFC
,C&H-Cooling-Tech&Innov-Engg-E&I
,C&H-Cooling-Tech Ser
,"HR,IR,Admin-HR-Power&TIL"
,C&H-Heating-Project-Savli Facility
,Enviro-EPC-P&E-Proposal R&R
,C&H-Cooling-Tech Ser-Thailand
,C&H-Services-Vendor Development&SCM
,C&W-Chemical-Oprtns-Maint[Paudh]
,C&W-Chemical-Oprtns-ETP[Paudh]
,C&H-Heating-Project-Proposals
,C&H-Heating-Project-Procure
,C&H-Services-Sales&Proposals-TCA Sales
,C&W-WWS-Municipal&Lrg Projects-Oprtns
,"HR,IR,Admin-IR-General"
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Ser&Commisioning
,C&H-Cooling-Quality-QA&Welding
,Enviro-EPC
,C&W-WWS-Municipal&Lrg Projects-Oprtns-Construct
,C&W-WWS-IPG-Process&Proposals-E&I
,Enviro-Domestic Sales-East
,C&W-WWS-Intgrtd Ser-Materl-Stores&Log
,Power-SPP-Commissioning
,C&H-Heating-Product-QC-Welding
,TIL-MPP-Oprtns-Construct-HO Coordination-Site Mgmt
,C&H-Heating-Project-Procure-Bought Out
,Enviro-PRD-PEG
,C&H-Heating-Project-Project Management
,C&W-Chemical-PPG&OFC-Sales-Channel
,TIL-LPP-Oprtns-Construct-HO Coordination-Site Mgmt
,RTIC-Design&Engg-Mechanical&Structural
,CFSS-South-Admin
,RTIC-COE-Biotechnology
,Power-MPP-Oprtns-Com
,TIL-MPP-Oprtns-Construct-HO Coordination
